Date,NIFTY_TOTAL_MARKET
2023-07-03,11829.76
2023-06-30,11759.0
2023-06-28,11649.5
2023-06-27,11570.22
2023-06-26,11499.78
2023-06-23,11459.47
2023-06-22,11552.66
2023-06-21,11623.53
2023-06-20,11594.04
2023-06-19,11551.24
2023-06-16,11575.71
2023-06-15,11487.23
2023-06-14,11503.09
2023-06-13,11476.42
2023-06-12,11390.95
2023-06-09,11351.47
2023-06-08,11380.37
2023-06-07,11441.95
2023-06-06,11348.74
2023-06-05,11333.36
2023-06-02,11297.99
2023-06-01,11253.49
2023-05-31,11255.72
2023-05-30,11271.85
2023-05-29,11251.71
2023-05-26,11197.84
2023-05-25,11098.34
2023-05-24,11069.92
2023-05-23,11089.11
2023-05-22,11060.42
2023-05-19,10992.75
2023-05-18,10960.08
2023-05-17,11004.81
2023-05-16,11049.98
2023-05-15,11074.65
2023-05-12,11023.89
2023-05-11,11027.47
2023-05-10,11012.51
2023-05-09,10979.5
2023-05-08,10985.82
2023-05-05,10881.13
2023-05-04,10970.49
2023-05-03,10877.74
2023-05-02,10893.84
2023-04-28,10835.03
2023-04-27,10731.16
2023-04-26,10672.76
2023-04-25,10645.04
2023-04-24,10626.61
2023-04-21,10567.77
2023-04-20,10578.88
2023-04-19,10575.08
2023-04-18,10602.01
2023-04-17,10606.56
2023-04-13,10641.02
2023-04-12,10629.81
2023-04-11,10577.43
2023-04-10,10522.0
2023-04-06,10500.68
2023-04-05,10463.36
2023-04-03,10385.26
2023-03-31,10348.9
2023-03-29,10198.94
2023-03-28,10100.94
2023-03-27,10138.25
2023-03-24,10154.15
2023-03-23,10244.19
2023-03-22,10283.68
2023-03-21,10248.19
2023-03-20,10181.03
2023-03-17,10255.91
2023-03-16,10191.43
2023-03-15,10186.39
2023-03-14,10213.01
2023-03-13,10281.37
2023-03-10,10444.9
2023-03-09,10532.35
2023-03-08,10613.64
2023-03-06,10582.46
2023-03-03,10506.52
2023-03-02,10373.37
2023-03-01,10428.0
2023-02-28,10322.75
2023-02-27,10342.57
2023-02-24,10404.01
2023-02-23,10429.22
2023-02-22,10452.96
2023-02-21,10603.95
2023-02-20,10621.78
2023-02-17,10668.56
2023-02-16,10723.54
2023-02-15,10690.75
2023-02-14,10635.98
2023-02-13,10590.31
2023-02-10,10672.84
2023-02-09,10681.04
2023-02-08,10679.57
2023-02-07,10589.79
2023-02-06,10611.34
2023-02-03,10629.72
2023-02-02,10546.21
2023-02-01,10551.14
2023-01-31,10616.34
2023-01-30,10553.27
2023-01-27,10567.99
2023-01-25,10781.23
2023-01-24,10933.87
2023-01-23,10945.38
2023-01-20,10908.77
2023-01-19,10959.81
2023-01-18,10991.88
2023-01-17,10942.17
2023-01-16,10880.11
2023-01-13,10908.73
2023-01-12,10861.37
2023-01-11,10877.43
2023-01-10,10893.42
2023-01-09,10981.19
2023-01-06,10856.61
2023-01-05,10938.04
2023-01-04,10942.49
2023-01-03,11059.37
2023-01-02,11033.95
2022-12-30,10978.56
2022-12-29,11001.15
2022-12-28,10963.81
2022-12-27,10952.16
2022-12-26,10863.84
2022-12-23,10679.52
2022-12-22,10958.07
2022-12-21,11031.28
2022-12-20,11177.9
2022-12-19,11197.7
2022-12-16,11113.47
2022-12-15,11218.73
2022-12-14,11345.61
2022-12-13,11302.64
2022-12-12,11248.41
2022-12-09,11235.45
2022-12-08,11306.98
2022-12-07,11271.99
2022-12-06,11315.75
2022-12-05,11347.28
2022-12-02,11342.8
2022-12-01,11368.27
2022-11-30,11326.3
2022-11-29,11231.22
2022-11-28,11212.46
2022-11-25,11171.62
2022-11-24,11137.33
2022-11-23,11037.56
2022-11-22,11015.49
2022-11-21,10977.38
2022-11-18,11045.61
2022-11-17,11078.49
2022-11-16,11124.62
2022-11-15,11145.97
2022-11-14,11114.74
2022-11-11,11113.56
2022-11-10,10967.79
2022-11-09,11058.62
2022-11-07,11092.09
2022-11-04,11032.05
2022-11-03,10997.12
2022-11-02,11004.6
2022-11-01,11030.77
2022-10-31,10950.04
2022-10-28,10821.77
2022-10-27,10825.03
2022-10-25,10759.04
2022-10-24,10787.43
2022-10-21,10702.65
2022-10-20,10727.18
2022-10-19,10697.28
2022-10-18,10687.9
2022-10-17,10581.34
2022-10-14,10517.66
2022-10-13,10459.19
2022-10-12,10528.81
2022-10-11,10455.1
2022-10-10,10618.15
2022-10-07,10677.65
2022-10-06,10686.64
2022-10-04,10621.82
2022-10-03,10390.25
2022-09-30,10524.21
2022-09-29,10363.32
2022-09-28,10374.33
2022-09-27,10450.18
2022-09-26,10447.73
2022-09-23,10687.7
2022-09-22,10885.28
2022-09-21,10900.85
2022-09-20,10978.84
2022-09-19,10854.99
2022-09-16,10819.19
2022-09-15,11057.98
2022-09-14,11090.63
2022-09-13,11117.3
2022-09-12,11052.22
2022-09-09,10973.22
2022-09-08,10955.77
2022-09-07,10869.95
2022-09-06,10862.96
2022-09-05,10850.8
2022-09-02,10783.07
2022-09-01,10789.24
2022-08-30,10863.93
2022-08-29,10616.51
2022-08-26,10738.57
2022-08-25,10704.33
2022-08-24,10730.7
2022-08-23,10693.63
2022-08-22,10629.43
2022-08-19,10794.46
2022-08-18,10910.11
2022-08-17,10886.81
2022-08-16,10816.37
2022-08-12,10718.08
2022-08-11,10685.29
2022-08-10,10606.14
2022-08-08,10609.98
2022-08-05,10541.44
2022-08-04,10535.43
2022-08-03,10525.38
2022-08-02,10524.72
2022-08-01,10501.55
2022-07-29,10371.67
2022-07-28,10233.82
2022-07-27,10089.81
2022-07-26,10004.04
2022-07-25,10102.09
2022-07-22,10142.21
2022-07-21,10097.05
2022-07-20,10016.74
2022-07-19,9938.18
2022-07-18,9887.96
2022-07-15,9750.57
2022-07-14,9689.07
2022-07-13,9703.48
2022-07-12,9740.58
2022-07-11,9815.16
2022-07-08,9771.33
2022-07-07,9726.26
2022-07-06,9629.61
2022-07-05,9511.35
2022-07-04,9517.74
2022-07-01,9460.08
2022-06-30,9454.84
2022-06-29,9474.7
2022-06-28,9506.82
2022-06-27,9491.66
2022-06-24,9404.39
2022-06-23,9301.22
2022-06-22,9208.67
2022-06-21,9344.31
2022-06-20,9135.99
2022-06-17,9173.85
2022-06-16,9240.64
2022-06-15,9449.15
2022-06-14,9447.19
2022-06-13,9467.47
2022-06-10,9726.61
2022-06-09,9862.91
2022-06-08,9798.59
2022-06-07,9833.01
2022-06-06,9915.69
2022-06-03,9932.94
2022-06-02,9997.48
2022-06-01,9934.89
2022-05-31,9957.1
2022-05-30,9968.95
2022-05-27,9770.76
2022-05-26,9664.74
2022-05-25,9566.3
2022-05-24,9679.22
2022-05-23,9743.47
2022-05-20,9785.84
2022-05-19,9543.07
2022-05-18,9800.47
2022-05-17,9805.22
2022-05-16,9554.01
2022-05-13,9482.8
2022-05-12,9474.9
2022-05-11,9685.01
2022-05-10,9749.4
2022-05-09,9849.19
2022-05-06,9958.91
2022-05-05,10135.75
2022-05-04,10134.41
2022-05-02,10375.09
2022-04-29,10408.78
2022-04-28,10500.36
2022-04-27,10390.76
2022-04-26,10490.52
2022-04-25,10334.39
2022-04-22,10491.85
2022-04-21,10600.84
2022-04-20,10456.85
2022-04-19,10370.51
2022-04-18,10510.08
2022-04-13,10657.52
2022-04-12,10673.54
2022-04-11,10787.45
2022-04-08,10797.14
2022-04-07,10696.17
2022-04-06,10784.86
2022-04-05,10824.7
2022-04-04,10815.41
2022-04-01,10605.83
2022-03-31,10466.78
2022-03-30,10467.66
2022-03-29,10370.95
2022-03-28,10310.42
2022-03-25,10296.57
2022-03-24,10330.91
2022-03-23,10328.27
2022-03-22,10348.64
2022-03-21,10264.42
2022-03-17,10345.09
2022-03-16,10178.08
2022-03-15,9991.9
2022-03-14,10104.12
2022-03-11,10008.81
2022-03-10,9972.78
2022-03-09,9826.22
2022-03-08,9631.41
2022-03-07,9530.2
2022-03-04,9762.12
2022-03-03,9931.86
2022-03-02,9974.59
2022-02-28,10048.28
2022-02-25,9963.09
2022-02-24,9670.68
2022-02-23,10187.79
2022-02-22,10171.39
2022-02-21,10250.7
2022-02-18,10332.94
2022-02-17,10376.85
2022-02-16,10389.38
2022-02-15,10395.67
2022-02-14,10113.64
2022-02-11,10457.17
2022-02-10,10612.72
2022-02-09,10545.93
2022-02-08,10433.72
2022-02-07,10447.04
2022-02-04,10595.72
2022-02-03,10630.09
2022-02-02,10735.39
2022-02-01,10609.61
2022-01-31,10473.99
2022-01-28,10337.08
2022-01-27,10305.65
2022-01-25,10409.51
2022-01-24,10323.91
2022-01-21,10657.63
2022-01-20,10786.43
2022-01-19,10859.98
2022-01-18,10928.44
2022-01-17,11075.7
2022-01-14,11038.06
2022-01-13,11029.05
2022-01-12,10991.58
2022-01-11,10896.61
2022-01-10,10872.63
2022-01-07,10767.65
2022-01-06,10726.16
2022-01-05,10797.8
2022-01-04,10744.28
2022-01-03,10664.62
2021-12-31,10517.78
2021-12-30,10409.62
2021-12-29,10423.91
2021-12-28,10426.64
2021-12-27,10326.74
2021-12-24,10282.39
2021-12-23,10343.28
2021-12-22,10265.56
2021-12-21,10137.17
2021-12-20,10024.82
2021-12-17,10289.09
2021-12-16,10474.28
2021-12-15,10488.0
2021-12-14,10550.65
2021-12-13,10564.32
2021-12-10,10625.95
2021-12-09,10603.8
2021-12-08,10565.09
2021-12-07,10397.8
2021-12-06,10246.66
2021-12-03,10412.78
2021-12-02,10491.62
2021-12-01,10358.5
2021-11-30,10264.18
2021-11-29,10268.57
2021-11-26,10309.65
2021-11-25,10620.74
2021-11-24,10546.0
2021-11-23,10585.02
2021-11-22,10489.15
2021-11-18,10718.6
2021-11-17,10827.09
2021-11-16,10874.6
2021-11-15,10919.41
2021-11-12,10913.37
2021-11-11,10799.03
2021-11-10,10873.09
2021-11-09,10887.39
2021-11-08,10869.69
2021-11-04,10769.65
2021-11-03,10701.23
2021-11-02,10724.19
2021-11-01,10711.56
