Date,NIFTY_MIDSMALLCAP400_MOMENTUM_QUALITY_100
2023-08-22,43586.52
2023-08-21,43294.05
2023-08-18,43005.69
2023-08-17,43035.79
2023-08-16,42825.39
2023-08-14,42742.57
2023-08-11,42868.57
2023-08-10,42893.28
2023-08-09,43031.22
2023-08-08,43016.69
2023-08-07,42982.09
2023-08-04,42805.57
2023-08-03,42562.82
2023-08-02,42569.06
2023-08-01,42944.55
2023-07-31,43010.07
2023-07-28,42575.86
2023-07-27,42245.97
2023-07-26,42011.57
2023-07-25,41971.79
2023-07-24,41966.9
2023-07-21,41729.12
2023-07-20,41940.92
2023-07-19,41885.24
2023-07-18,41473.55
2023-07-17,41425.72
2023-07-14,41334.31
2023-07-13,40797.64
2023-07-12,41009.92
2023-07-11,40750.8
2023-07-10,40310.69
2023-07-07,40522.61
2023-07-06,40847.17
2023-07-05,40521.4
2023-07-04,40325.74
2023-07-03,40435.98
2023-06-30,40502.53
2023-06-28,40357.59
2023-06-27,40131.54
2023-06-26,40045.9
2023-06-23,39676.56
2023-06-22,40229.54
2023-06-21,40553.25
2023-06-20,40416.11
2023-06-19,40175.8
2023-06-16,40259.3
2023-06-15,39997.56
2023-06-14,39887.17
2023-06-13,39736.23
2023-06-12,39381.45
2023-06-09,39204.64
2023-06-08,39212.98
2023-06-07,39591.47
2023-06-06,39279.15
2023-06-05,39204.83
2023-06-02,39085.78
2023-06-01,38848.95
2023-05-31,38727.15
2023-05-30,38459.57
2023-05-29,38431.68
2023-05-26,38336.78
2023-05-25,38048.16
2023-05-24,37860.55
2023-05-23,37751.15
2023-05-22,37754.57
2023-05-19,37476.16
2023-05-18,37486.97
2023-05-17,37747.88
2023-05-16,37644.39
2023-05-15,37453.86
2023-05-12,37415.64
2023-05-11,37526.07
2023-05-10,37399.04
2023-05-09,37252.14
2023-05-08,37133.88
2023-05-05,36879.97
2023-05-04,36954.99
2023-05-03,36720.44
2023-05-02,36625.92
2023-04-28,36459.33
2023-04-27,36142.97
2023-04-26,35912.73
2023-04-25,35695.34
2023-04-24,35641.65
2023-04-21,35396.05
2023-04-20,35474.76
2023-04-19,35600.64
2023-04-18,35677.49
2023-04-17,35670.41
2023-04-13,35581.4
2023-04-12,35512.6
2023-04-11,35336.18
2023-04-10,35118.84
2023-04-06,34961.56
2023-04-05,34862.38
2023-04-03,34583.89
2023-03-31,34620.28
2023-03-29,34292.62
2023-03-28,33734.66
2023-03-27,33710.9
2023-03-24,34014.99
2023-03-23,34348.26
2023-03-22,34395.85
2023-03-21,34327.71
2023-03-20,34182.13
2023-03-17,34535.77
2023-03-16,34337.83
2023-03-15,34570.49
2023-03-14,34401.01
2023-03-13,34564.37
2023-03-10,35206.35
2023-03-09,35477.73
2023-03-08,35655.16
2023-03-06,35479.47
2023-03-03,35177.93
2023-03-02,35089.57
2023-03-01,35196.9
2023-02-28,34645.49
2023-02-27,34407.82
2023-02-24,34582.99
2023-02-23,34618.34
2023-02-22,34544.8
2023-02-21,34925.9
2023-02-20,34949.5
2023-02-17,34938.38
2023-02-16,35102.39
2023-02-15,34685.35
2023-02-14,34534.63
2023-02-13,34642.41
2023-02-10,35143.85
2023-02-09,34997.81
2023-02-08,35035.97
2023-02-07,34850.27
2023-02-06,34811.88
2023-02-03,34520.75
2023-02-02,34629.43
2023-02-01,34438.72
2023-01-31,34591.82
2023-01-30,33979.5
2023-01-27,34018.11
2023-01-25,34367.44
2023-01-24,34834.12
2023-01-23,34980.09
2023-01-20,34848.71
2023-01-19,34974.09
2023-01-18,35045.78
2023-01-17,34987.35
2023-01-16,34829.57
2023-01-13,34877.22
2023-01-12,35033.32
2023-01-11,35008.44
2023-01-10,35150.95
2023-01-09,35376.75
2023-01-06,35165.86
2023-01-05,35360.6
2023-01-04,35291.11
2023-01-03,35475.11
2023-01-02,35379.49
2022-12-30,35189.36
2022-12-29,35081.89
2022-12-28,35128.31
2022-12-27,35030.16
2022-12-26,34819.22
2022-12-23,34024.28
2022-12-22,35230.77
2022-12-21,35569.5
2022-12-20,36129.57
2022-12-19,36129.3
2022-12-16,36009.25
2022-12-15,36491.51
2022-12-14,36911.24
2022-12-13,36709.75
2022-12-12,36709.3
2022-12-09,36812.99
2022-12-08,36958.69
2022-12-07,36723.63
2022-12-06,36844.3
2022-12-05,37087.15
2022-12-02,37084.5
2022-12-01,36739.07
2022-11-30,36399.54
2022-11-29,36060.35
2022-11-28,36398.24
2022-11-25,36119.59
2022-11-24,35901.82
2022-11-23,35752.73
2022-11-22,35631.6
2022-11-21,35484.01
2022-11-18,35437.72
2022-11-17,35637.11
2022-11-16,35623.9
2022-11-15,35607.6
2022-11-14,35572.57
2022-11-11,35584.86
2022-11-10,35544.39
2022-11-09,35945.76
2022-11-07,36272.72
2022-11-04,36110.75
2022-11-03,36235.95
2022-11-02,36178.17
2022-11-01,36146.56
2022-10-31,35752.52
2022-10-28,35370.16
