Date,NIFTY_SMALLCAP250_MOMENTUM_QUALITY_100
2023-08-22,45424.98
2023-08-21,45163.03
2023-08-18,44778.08
2023-08-17,44955.56
2023-08-16,44698.24
2023-08-14,44515.21
2023-08-11,44910.13
2023-08-10,44941.55
2023-08-09,45183.09
2023-08-08,45065.16
2023-08-07,44885.94
2023-08-04,44606.9
2023-08-03,44326.55
2023-08-02,44331.12
2023-08-01,44872.96
2023-07-31,44868.33
2023-07-28,44317.15
2023-07-27,44105.58
2023-07-26,44183.45
2023-07-25,44249.39
2023-07-24,44214.23
2023-07-21,43895.64
2023-07-20,43779.23
2023-07-19,43734.95
2023-07-18,43297.38
2023-07-17,43510.5
2023-07-14,43222.87
2023-07-13,42557.94
2023-07-12,42863.13
2023-07-11,42615.84
2023-07-10,42247.58
2023-07-07,42478.37
2023-07-06,42681.75
2023-07-05,42412.95
2023-07-04,42079.56
2023-07-03,42097.31
2023-06-30,41870.67
2023-06-28,41618.2
2023-06-27,41578.32
2023-06-26,41318.43
2023-06-23,40997.73
2023-06-22,41455.45
2023-06-21,41786.54
2023-06-20,41765.44
2023-06-19,41769.38
2023-06-16,41722.76
2023-06-15,41449.01
2023-06-14,41365.46
2023-06-13,41267.83
2023-06-12,41018.23
2023-06-09,40895.26
2023-06-08,40931.57
2023-06-07,41216.12
2023-06-06,40718.83
2023-06-05,40372.2
2023-06-02,40392.62
2023-06-01,40123.28
2023-05-31,39709.3
2023-05-30,39401.06
2023-05-29,39451.96
2023-05-26,39303.89
2023-05-25,39310.04
2023-05-24,39218.07
2023-05-23,38980.59
2023-05-22,39090.16
2023-05-19,38823.32
2023-05-18,38898.44
2023-05-17,39082.21
2023-05-16,38876.15
2023-05-15,38810.55
2023-05-12,38550.82
2023-05-11,38729.42
2023-05-10,38377.55
2023-05-09,38338.06
2023-05-08,38512.98
2023-05-05,38235.6
2023-05-04,38317.05
2023-05-03,38042.78
2023-05-02,37829.89
2023-04-28,37560.03
2023-04-27,37166.48
2023-04-26,37007.88
2023-04-25,36566.15
2023-04-24,36356.69
2023-04-21,36076.29
2023-04-20,36168.09
2023-04-19,36170.47
2023-04-18,36069.73
2023-04-17,35879.7
2023-04-13,35957.18
2023-04-12,35882.67
2023-04-11,35703.64
2023-04-10,35567.66
2023-04-06,35539.32
2023-04-05,35397.34
2023-04-03,35090.67
2023-03-31,34948.49
2023-03-29,34447.99
2023-03-28,33669.79
2023-03-27,33806.18
2023-03-24,34368.9
2023-03-23,34889.21
2023-03-22,34952.53
2023-03-21,34699.55
2023-03-20,34577.82
2023-03-17,34843.04
2023-03-16,34553.27
2023-03-15,34730.37
2023-03-14,34524.63
2023-03-13,34827.06
2023-03-10,35655.57
2023-03-09,35956.77
2023-03-08,36065.9
2023-03-06,35948.13
2023-03-03,35576.43
2023-03-02,35398.61
2023-03-01,35443.1
2023-02-28,34937.11
2023-02-27,34822.74
2023-02-24,35307.79
2023-02-23,35282.57
2023-02-22,35195.85
2023-02-21,35669.72
2023-02-20,35854.15
2023-02-17,35920.56
2023-02-16,36017.19
2023-02-15,35626.96
2023-02-14,35543.05
2023-02-13,35762.37
2023-02-10,36119.4
2023-02-09,35926.63
2023-02-08,36006.45
2023-02-07,35678.1
2023-02-06,35845.23
2023-02-03,35757.24
2023-02-02,35975.87
2023-02-01,35753.17
2023-01-31,36154.49
2023-01-30,35069.93
2023-01-27,35038.73
2023-01-25,35725.76
2023-01-24,36015.41
2023-01-23,36259.21
2023-01-20,36272.88
2023-01-19,36464.83
2023-01-18,36628.46
2023-01-17,36559.87
2023-01-16,36560.3
2023-01-13,36610.88
2023-01-12,36432.1
